# schema=authbc.energy.samples/1
# capture_host=DESKTOP-TROHJN7
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# port=/dev/ttyACM0
# baud=115200
# capture_start_utc=20260727T231443Z
ms,window,wtrans,V1,I1_mA,P1_W,V2,I2_mA,P2_W
6628,0,0,5.040,419.1,2.1040,5.216,420.1,2.1920
6648,0,0,5.040,417.5,2.0880,5.220,419.4,2.1880
6668,0,0,4.968,562.7,2.7960,5.220,424.2,2.1860
6688,0,0,4.960,559.0,2.7780,5.220,420.0,2.1860
6708,0,0,4.988,560.1,2.8140,5.220,420.4,2.1920
6728,0,0,5.004,547.8,2.8140,5.220,423.5,2.2120
6748,0,0,4.952,582.8,2.6540,5.220,419.6,2.1880
6768,0,0,4.972,567.4,2.8180,5.224,422.6,2.2120
6788,0,0,4.968,540.5,2.7000,5.220,419.4,2.2020
6808,0,0,4.984,546.7,2.7300,5.220,419.4,2.1880
6828,0,0,4.968,546.2,2.7780,5.220,418.9,2.1860
6848,0,0,5.016,547.3,2.7240,5.220,419.9,2.1920
6868,0,0,4.976,555.0,2.7620,5.220,418.1,2.1960
6888,0,0,5.048,409.6,2.0680,5.224,417.6,2.1920
6908,0,0,5.052,411.9,2.0800,5.220,419.0,2.1860
6928,0,0,5.048,411.4,2.0900,5.220,424.2,2.2120
6948,0,0,5.044,408.7,2.0800,5.224,419.2,2.1860
6968,0,0,5.048,409.3,2.0680,5.220,418.4,2.1920
6988,0,0,5.052,411.0,2.0740,5.220,419.7,2.1920
7008,0,0,5.056,409.6,2.0680,5.220,421.4,2.1980
7028,0,0,5.048,410.7,2.0640,5.220,419.2,2.1880
7048,0,0,5.048,409.3,2.0680,5.220,418.9,2.1860
7068,0,0,5.048,412.1,2.0780,5.220,423.7,2.1980
7088,0,0,5.048,413.8,2.0880,5.220,420.0,2.1860
7108,0,0,5.044,407.6,2.0540,5.220,419.9,2.1920
7128,0,0,5.048,408.0,2.0800,5.220,419.4,2.1880
7148,0,0,5.040,408.7,2.0900,5.220,419.3,2.1880
7168,0,0,5.044,409.8,2.0680,5.220,419.6,2.2020
7188,0,0,5.048,411.3,2.0780,5.224,426.9,2.1860
7208,0,0,5.048,415.1,2.0940,5.220,419.7,2.1920
7228,0,0,5.040,413.1,2.0640,5.224,419.7,2.1880
7248,0,0,5.048,412.9,2.0640,5.220,419.4,2.1880
7268,0,0,5.044,410.5,2.0700,5.220,419.1,2.1880
7288,0,0,5.048,415.1,2.0940,5.208,459.0,2.3340
7308,0,0,5.044,410.6,2.0740,5.220,420.2,2.1920
7328,0,0,5.044,409.8,2.0800,5.220,420.1,2.1920
7348,0,0,5.048,412.2,2.0680,5.220,420.1,2.1920
7368,0,0,5.040,412.3,2.0800,5.220,419.3,2.1880
7388,0,0,5.044,411.6,2.0800,5.220,428.0,2.3820
7408,0,0,5.048,409.2,2.0640,5.216,420.3,2.1960
7428,0,0,5.048,408.6,2.0940,5.220,420.2,2.1920
7448,0,0,5.048,414.0,2.0640,5.220,419.6,2.1880
7468,0,0,5.048,408.1,2.0620,5.220,418.6,2.1860
7488,0,0,5.048,413.7,2.0880,5.224,418.6,2.1980
7508,0,0,5.048,414.8,2.0940,5.220,418.7,2.1860
7528,0,0,5.040,409.6,2.0680,5.220,420.5,2.1960
7548,0,0,5.044,408.8,2.0840,5.220,420.6,2.1960
7568,0,0,5.048,414.4,2.0900,5.220,420.9,2.1920
7588,0,0,5.048,412.3,2.0800,5.220,419.7,2.1920
7608,0,0,5.036,408.6,2.0620,5.220,418.5,2.1860
7628,0,0,5.040,412.7,2.0740,5.220,419.9,2.1880
7648,0,0,5.056,409.2,2.0880,5.220,419.3,2.1860
7668,0,0,5.048,412.5,2.0800,5.220,420.0,2.1880
7688,0,0,5.052,410.6,2.0740,5.224,420.4,2.2080
7708,0,0,5.048,408.2,2.0580,5.224,418.9,2.1860
7728,0,0,5.052,408.4,2.0940,5.220,419.9,2.1920
7748,0,0,5.044,410.8,2.0940,5.220,418.6,2.1820
7768,0,0,5.048,412.2,2.0800,5.220,419.1,2.1920
7788,0,0,5.040,411.3,2.0780,5.220,419.2,2.1880
7808,0,0,5.048,410.1,2.0700,5.220,419.5,2.1880
7828,0,0,5.044,412.2,2.0640,5.220,419.2,2.1860
7848,0,0,5.044,412.7,2.0620,5.224,420.9,2.1960
7868,0,0,5.040,410.8,2.0740,5.220,419.3,2.1820
7888,1,1,5.048,409.4,2.0680,5.220,420.5,2.1920
7908,1,1,5.044,411.5,2.0780,5.220,420.4,2.1920
7928,1,1,5.048,412.8,2.0780,5.220,419.3,2.1860
7948,1,1,5.048,408.9,2.0940,5.220,419.7,2.1880
7968,1,1,5.044,414.2,2.0900,5.220,419.4,2.2540
7988,1,1,5.048,414.4,2.0900,5.220,419.3,2.1860
8008,1,1,5.044,409.4,2.0800,5.220,418.6,2.1820
8028,1,1,5.044,409.5,2.0880,5.220,418.9,2.1820
8048,1,1,5.048,409.8,2.0680,5.220,418.6,2.1820
